Contractor,total_projects,exp_years,delay_rate,mean_cost_ratio,duration_std,experience_efficiency
LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),113,4.177960301163586,0.5972141418272637,0.9939903521165453,138.52576970206997,0.5812129138335189
QM BUILDERS,88,2.3107460643394937,0.15635924611038796,0.9992172068359833,41.75757505815897,0.8879596514355181
ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP.,84,3.132101300479124,0.3526072500287095,0.9904307802905751,133.0198140129627,0.7303800846743979
ST. TIMOTHY CONSTRUCTION CORPORATION,83,3.378507871321013,0.5724209255615764,0.9753671413383105,123.87718646601759,0.6024821150543765
"SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)",67,3.2087611225188226,0.6493913893944503,0.9877360797449602,129.88166578076329,0.5536792238513292
ROYAL CROWN MONARCH CONSTRUCTION & SUPPLIES CORP.,56,2.965092402464066,0.247011728569291,0.9846845531216137,69.39898714032046,0.8215042614333322
WAWAO BUILDERS,53,2.351813826146475,0.14235245468035188,0.9900891867658678,72.47323115667291,0.8829580935173345
"TRIPLE 8 CONSTRUCTION & SUPPLY, INC. (FORMERLY TRIPLE 8 CONST. & SUPPLY)",52,2.198494182067077,0.2969267859689959,0.9114856188090135,87.15530800000059,0.7838056052326099
"L.R. TIQUI BUILDERS, INC.",52,2.412046543463381,0.6077657337302861,0.9815223228492225,87.74098106441453,0.5970466236726548
CENTERWAYS CONSTRUCTION AND DEVELOPMENT INC.,52,3.323750855578371,0.5304342477190161,0.9458690479956365,117.3576003068026,0.630519549434417
HI-TONE CONSTRUCTION & DEVELOPMENT CORP. (FORMERLY,50,2.2039698836413417,0.25295532150490563,0.98391268798108,66.43665998948596,0.8192309925899477
ROAD EDGE TRADING & DEVELOPMENT SERVICES,50,2.5845311430527036,0.6247376020073118,0.9737111405970674,155.83187003531316,0.5571457115571435
TOPNOTCH CATALYST BUILDERS INC.,48,2.291581108829569,0.3185749958933514,0.9983547989821919,98.26288737243168,0.7659688541290958
VILLAR GENERAL CONSTRUCTION AND SUPPLIES,47,2.9130732375085557,0.6532439557574368,0.987445543190156,130.25058527624893,0.5512066717059932
STO. CRISTO CONSTRUCTION & TRADING INC. (FOR: STO. CRISTO CONSTRUCTION & TRADING),46,2.9842573579739904,0.4877726183698055,0.983335866807402,103.76308547676992,0.6620497577389867
BICOL GOLDROCK CONSTRUCTION CORPORATION,46,2.2614647501711156,0.379266729997972,0.9923592878861767,101.17289562902211,0.7282837609629574
MG SAMIDAN CONSTRUCTION,44,2.023271731690623,0.805394832765275,0.9985608506533222,167.55352538341202,0.44363553879878187
FLORDES CONSTRUCTION & TRADING CORP. (FORMERLY FLO,41,3.184120465434634,0.691179375192246,0.9803619944504046,100.24477033904115,0.5415412476227073
A.C. SOLIVEN CONSTRUCTION & GENERAL MERCHANDISE,40,2.193018480492813,0.08421112688985788,0.9844079930444426,77.72533440568023,0.9155506465477675
ST. MATTHEW GEN. CONTRACTOR & DEVELOPMENT CORP.,39,2.21492128678987,0.30534702117611773,0.9898248630434628,127.67783642616956,0.7610676906544908
